Filename,Title,Source,Link,SHA-1,Date,Year
Fritz_HOW-CHINA-WILL-USE-CYBER-WARFARE(Oct-01-08),How China Will Use Cyber Warfare,Jason Fritz,https://app.box.com/s/696xnzy1an3jbm3b212y5n8xieirbemd,3e6399a4b608bbd99dd81bd2be4cd49731362b5e,10/01/2008,2008
556_10535_798405_Annex87_CyberAttacks,Russian Cyberwar On Georgia,Georgia Gov,https://app.box.com/s/ce4fr8p0mxv2pjcvh4pmma1q7oqc4vnc,2fbd7813367fad45e7fd1922381a05e27b0e9673,11/11/2008,2008
Ashmore_Impact-of-Alleged-Russian-Cyber-Attacks(Jan-18-09),Impact Of Alleged Russian Cyber Attack,William C. Ashmore,https://app.box.com/s/4q3ws8a3ymx6y4ygsp4k4zm8gx0imsy0,b0f5f77865f24c5064f78ed7cd30bbdf2c111945,01/18/2009,2009
ghostnet,Tracking Ghostnet: Investigating A Cyber Espionage Network,Information Warfare Monitor,https://app.box.com/s/8dq0gur02w8oh0z7ljjz5mh8l11cmrhh,28dd92f598e7d8987d8236767856c70be4f7e85f,03/29/2009,2009
Case_Study_Operation_Aurora_V11,Case Study: Operation Aurora,Triumfant,https://app.box.com/s/ni4xs2iuol4vskbc25vrxjih2w1ep7p6,510f1b2342f3ca3dd24179821eb451488d6e9722,01/01/2010,2010
Aurora_Botnet_Command_Structure,The Command Structure Of The Aurora Botnet,Damballa,https://app.box.com/s/6jeekvxflthmub9v26nybp5kqw9tjopj,9a7a1d3f7719c02dced8633ac0bf43d6e9ec7a1b,01/13/2010,2010
McAfee_Operation_Aurora,Combating Aurora,McAfee,https://app.box.com/s/jhy5k76ox6z8sy6tdjnqqrlz5r2o29h8,52123660be8b8cad9d46244f669f2cfd96101750,01/20/2010,2010
Aurora_HBGARY_DRAFT,"Operation Aurora: Detect, Diagnose, Respond",HBGary,https://app.box.com/s/j36zc0da9nz6q8wnv13slwxcnmiaykul,3494bd514034f0658ec66b2f515cd9a60c51a8e7,01/27/2010,2010
HBGary_Operation_Aurora,Operation Aurora,HBGary,https://app.box.com/s/fjb89qr1vnk2ox0vllj68ivadqgyz3an,4d9c8ecae38f217729cf8a9df934e7cc5de2ae1a,02/10/2010,2010
how_can_u_tell_Aurora,How Can I Tell If I Was Infected By Aurora?,McAfee,https://app.box.com/s/k0qidf9g1yfehi6pbdodmcxdqag5a9bv,1001e5c45200e0f138e9e9d508afc31c475d6ce7,02/24/2010,2010
in-depth_analysis_of_hydraq_final_231538,In-Depth Analysis Of Hydraq: The Face Of Cyberwar Enemies Unfolds,CA,https://app.box.com/s/44e7rbs177n5inhpm9si6gu3lm7fw6bj,6eb3094ecab54a8b80932f4bec263696f849ca77,03/14/2010,2010
Shadowserver_shadows-in-the-cloud,Shadows In The Cloud: Investigating Cyber Espionage 2.0,"Shadowserver, Information warfare monitor",https://app.box.com/s/mxffbrs4ju2yeoa47sbeym6n5zm1hnf3,8a982bc5c8303440faa4d5672a38bb7a613c382b,04/06/2010,2010
WashingtonPost_2010-Defense-official-discloses-cyberattack(08-24-2010),Defense official discloses cyberattack,Washington Post,https://app.box.com/s/071o7zzbyj0z4ixl69iupwow0bo82jqj,9b22d8de05493cd184246d30a4691005e9a30b94,08/24/2010,2010
MSUpdaterTrojanWhitepaper,The Msupdater Trojan And Ongoing Targeted Attacks ,"Seculert, Zscaler",https://app.box.com/s/gh8m5os2jewj2adleu2xqivj9qzf9ok8,c7d0387067ba747e3a3d9b43b7349d7888bf574e,09/03/2010,2010
w32_stuxnet_dossier,W32.Stuxnet Dossier,Symantec,https://app.box.com/s/rpdy3pk00bmkhgmf1lsfuwt6edakh6k3,93c9ad9c9d9e1d882d56d8ceb1aa684d147d0a78,02/01/2011,2011
wp-global-energy-cyberattacks-night-dragon,Global Energy Cyberattacks: Night Dragon,McAfee,https://app.box.com/s/o2tc88oihh4c67a0s8ygok9fwd66zp71,e0fce95ccdb9c400f2dd3859ebe268f5bc7877ce,02/10/2011,2011
Alerts DL-2011 Alerts-A-2011-02-18-01 Night Dragon Attachment 1,Night Dragon: Specific Protection Measures For Consideration ,NERC,https://app.box.com/s/grv4y3nziuxbsv4g16nyf4u1i1g1w0nm,1fe534fe68fe1a93ef2b536f1365219653b560ee,02/18/2011,2011
Stuxnet_Under_the_Microscope,Stuxnet Under The Microscope,ESET,https://app.box.com/s/2mmdr5vhhrjt2prszn167a0v58az9put,4c1b1b0da537c482d359bf75435cb8abb1df7093,04/20/2011,2011
C5_APT_ADecadeInReview,Advanced Persistent Threats: A Decade In Review,Command Five Pty Ltd,https://app.box.com/s/tl13bx0ek04liinz7btbc3f47jpvpbxj,725568c41fa9f1d7e8a2226e71e5b2a39fd08121,06/01/2011,2011
shady_rat_vanity,Operation Shady Rat: Unprecedented Cyber-Espionage Campaign And Intellectual-Property Bonanza,Vanity Fair,https://app.box.com/s/k34la7wec8mf3gzxphkynem95en886d3,254132938c6ff6eeaa5e3b1e8d8d506472c028b7,08/02/2011,2011
HTran_and_the_Advanced_Persistent_Threat,Htran And The Advanced Persistent Threat,Dell Secureworks,https://app.box.com/s/aqhzvj2a5vo91dgqjflh7nk4pm8aowon,1461452398e57d541209eb6bc29e0743369b373b,08/03/2011,2011
wp-operation-shady-rat,Revealed: Operation Shady Rat,McAfee,https://app.box.com/s/a086wzo5lwibw0dl7ri0kt7d0b51u299,deb92a55dffa951697d3367750df2cf8e4480f8f,08/04/2011,2011
wp_dissecting-lurid-apt,The Lurid Downloader,Trend Micro,https://app.box.com/s/7s9bvquu64vafpi14t8p6w2t6hwls1zi,23f1f9e5771be71725fa19487da59f6779f5ee3f,08/22/2011,2011
C5_APT_SKHack,Sk Hack By An Advanced Persistent Threat,Command Five Pty Ltd,https://app.box.com/s/c911g2eqxck6va9cdn9vync5628zrreb,2b98220caf158d1c4f6d72abbc379899e35edc4d,09/11/2011,2011
tb_advanced_persistent_threats,Alleged Apt Intrusion Set: 1.Php Group,"Zscaler, ThreatLabz",https://app.box.com/s/rqv5wirqhfc3zht1p2kouk8i0ymnmr92,fd81d98729029a483e0c5c69d908ab96014edbe5,10/12/2011,2011
Duqu_Trojan_Questions_and_Answers,Duqu Trojan Questions And Answers,Dell Secureworks,https://app.box.com/s/ygyqokm0cxq56lut0v1u0i4u5vts9idc,c59b324139b965677a9933f7435b5ac34ca40126,10/26/2011,2011
the_nitro_attacks,The Nitro Attacks: Stealing Secrets From The Chemical Industry,Symantec,https://app.box.com/s/sp5gpgu0xpf0dsfxj269ptxyyzm0ohkf,f26ddf5c622dd52fc46cd46813c9552a08214587,10/31/2011,2011
Palebot_Palestinian_credentials,Palebot Trojan Harvests Palestinian Online Credentials,Norman,https://app.box.com/s/73rhctcs0kj6s52eeqn509p44a368kuv,b0ac3fce955bb8361b98a791919d639b18877d56,12/08/2011,2011
WashingtonPost_2011-Cyber-intruder-sparks-response-debate(12-08-2011),"Cyber-intruder sparks response, debate",Washington Post,https://app.box.com/s/ufro1ks1913zufz8n44883up7yttfs7d,8fcaa75fb993d568f7dda7f9f237a27811839420,12/08/2011,2011
Evolution_Drivers_Duqu_Stuxnet,Stuxnet/Duqu: The Evolution Of Drivers,Kaspersky,https://app.box.com/s/shakkou3wcgwfq5u83jncdit7cmmw151,f4231f388207b578c46b126e14d5ed4f9b405424,12/28/2011,2011
wp_the-heartbeat-apt-campaign,The Heartbeat Apt Campaign,Trend Micro,https://app.box.com/s/4qfg9m8wrdgsdf7k3fwrz7zmg2tkfxno,a486fb5b0b485796f0b2d1248c948e7c64c6b49a,01/03/2012,2012
The_Sin_Digoo_Affair,The Sin Digoo Affair,Dell Secureworks,https://app.box.com/s/qj9849r6n72ktrc9q3n9107xduauffss,771d703ce533bea8dbece799705ce8e61717a8a5,02/29/2012,2012
Crouching_tiger_hidden_dragon,"Crouching Tiger, Hidden Dragon, Stolen Data",Contextis,https://app.box.com/s/vk0oacayqkgrk3tp492h3ja9jnlktk7t,75c240fb4334b2307b56c336284acad112e40063,03/12/2012,2012
Crypto-DarkComet-Report,It'S Not The End Of The World: Darkcomet Misses By A Mile,Arbor Networks,https://app.box.com/s/akmz317h8dkapm52ksycf187rw2ylp21,50511389957f7c2e0127031d8633724ae05354f3,03/13/2012,2012
wp_luckycat_redux,Luckycat Redux: Inside An Apt Campaign With Multiple Targets  In India And Japan,Trend Micro,https://app.box.com/s/vun0x0rrek5l51djb8igbojb7v85sg3q,bdb218fdc0cce0bc57f77a9a1e6d3cc7e81b55f9,03/26/2012,2012
Symantec_The-luckycat-hackers(04-03-2012),The Luckycat Hackers,Symantec,https://app.box.com/s/oiblu3lk6fsqnjqv6bx4ygkv7e14tcb8,3392452b5245a2e5b7299367f5588c75d44cca25,04/03/2012,2012
OSX_SabPub,New Version Of Osx.Sabpub & Confirmed Mac Apt Attacks,Kaspersky,https://app.box.com/s/ew3h0mve5lf5x69ydjd1sm1r380rqy4k,0b792ff94ca71eeb71aba780286f7c4bf9f75b40,04/16/2012,2012
w32_flamer_newsforyou,Have I Got Newsforyou: Analysis Of Flamer C&C Server,Symantec,https://app.box.com/s/6ujt4gi1c962id9o4iviesurww2grbxi,0120f4f065c62bcd218bbc21bc729bd3645adf14,05/18/2012,2012
wp_ixeshe,Ixeshe An Apt Campaign,Trend Micro,https://app.box.com/s/t74crjmu21ee2gpnnx56182bj74facvi,c00b7449b733f070c148c5b6c0a4df087a3f34f1,05/22/2012,2012
skywiper,Skywiper (A.K.A. Flame A.K.A. Flamer): A Complex Malware For Targeted Attacks ,"CrySyS, BME",https://app.box.com/s/ebeqddqmxdjqttnqjr1xzi7agiqusrac,6e4df95a65ad848c8192c7c76ed35d622764cab3,05/31/2012,2012
PEST-CONTROL,Pest Control: Taming The Rats,Matasano,https://app.box.com/s/k6kyhjnok9n5vqtchm4u1luoluth0j1i,203258819d7fbffdfae2c5df96d71254a2816ca6,06/13/2012,2012
Tibet_Lurk,Recent Observations In Tibet-Related Information Operations: Advanced Social Engineering For The Distribution Of Lurk Malware,Citizen Lab,https://app.box.com/s/njc3dvwkbx4i9y0s300r3k3ocrj1gmua,61c047476369c5069e39f3d06825d847d924d216,07/10/2012,2012
From-Bahrain-With-Love-FinFishers-Spy-Kit-Exposed,From Bahrain With Love: Finfisher Spy Kit Exposed?,Citizen Lab,https://app.box.com/s/1y57tx3onyislwp9w9k0dqew874y11s9,6d0de3e44a012f45a7b56a9862d1d67ef8bfd7e8,07/25/2012,2012
The_Madi_Infostealers,The 'Madi' Infostealers - A Detailed Analysis,Kaspersky,https://app.box.com/s/h2rowevapfawgbkdpcinjgbci6iy71ml,51b16ee4bb04d663a4c67e23e3d3bf816ae12207,07/27/2012,2012
kaspersky-lab-gauss,Gauss: Abnormal Distribution,Kaspersky,https://app.box.com/s/y0wmp82qdqivrx4x21nfj5miod1tjuf1,4c9c37199b1e1da37d0dae56f7a6469e0b0a4c6e,08/09/2012,2012
VOHO_WP_FINAL_READY-FOR-Publication-09242012_AC,The Voho Campaign: An In Depth Analysis ,RSA,https://app.box.com/s/g1nx7q1o451m0o8hmhbeg82igcflk6q5,759e45d0b495ec23949b3324fd543df7e450afdc,08/12/2012,2012
The_Mirage_Campaign,The Mirage Campaign,Dell Secureworks,https://app.box.com/s/h9vlkkgq0yaat56muq6nei95nchysbay,cfd4451a15223fdf667285b12a8829a4b409495a,08/18/2012,2012
the-elderwood-project,The Elderwood Project,Symantec,https://app.box.com/s/kbhzz24wt2t7kd92c2409uyqawj1jl0t,ce7a662c0f822536e6beff4856f701d28137c8e1,09/06/2012,2012
IEXPL0RE_RAT,Iexpl0Re Rat,Citizen Lab,https://app.box.com/s/tdgkyqg7o511v8a29mc8ec28yxzw118j,bd6f3f93d3c87e78149d766b2613ed9e18bc2620,09/07/2012,2012
trojan_taidoor-targeting_think_tanks,Trojan.Taidoor: Targeting Think Tanks,Symantec,https://app.box.com/s/td8bl14go6icl9lhi9c4idkk82e83t2c,c32627e18128fbf249a084272310996d1b794bb5,10/27/2012,2012
WickedRose_andNCPH,"""Wicked Rose"" And The Ncph Hacking Group",iDefense,https://app.box.com/s/0cp8nyd339dnbak96x2klgz1kxm36xd2,e802d6f06085f22242a66b06c785315e1c63c070,11/01/2012,2012
FTA 1007 - Shamoon,Recovering From Shamoon,Fidelis,https://app.box.com/s/fjucrojt5ldxio2sbvsql7syv46l6p4g,4477f8bb9e82fa99d4c0f1d57720f5856b8ee9f8,11/01/2012,2012
Cyberattack_against_Israeli_and_Palestinian_targets,Systematic Cyber Attacks Against Israeli And Palestinian Targets Going On For A Year  ,Norman,https://app.box.com/s/83uopvit3i46wmy3hxvw4g3rjhv8ax1s,299a326641766c588a04f990927f795ecc31726f,11/03/2012,2012
Faces_Ghost_RAT,The Many Faces Of Gh0St Rat: Plotting The Connections Between Malware Attacks,Norman,https://app.box.com/s/aj7ebr1v0x9mf3psmxeififqijwmmacy,02e2959da1d4522c2d94ffbc7a1871470b2f7912,11/30/2012,2012
Securelist_RedOctober,"The ""Red October"" Campaign - An Advanced Cyber Espionage Network Targeting Diplomatic And Government Agencies",Kaspersky,https://app.box.com/s/ymcjx37fp0zyyjybcl80czcrpzctjfp9,b64a571a29d1c2cfc40b6b6cef50a95e6ce3b455,01/14/2013,2013
Securelist_RedOctober_Detail,"""Red October"" Diplomatic Cyber Attacks Investigation",Kaspersky,https://app.box.com/s/m3hhm2et9h54sfojd33b6k7m76zoqdv1,f9e75ac3b51ec2dd195a2fd82743530f9534dd40,01/14/2013,2013
icefog,The Icefog Apt: A Tale Of Cloak And Three Daggers,Kaspersky,https://app.box.com/s/ebjeefvfx58arny58fb9vv6up39f293w,751d00dab0fac4c2b0d1c140e9897fb99a399be1,01/14/2013,2013
McAfee_Labs_Threat_Advisory_Exploit_Operation_Red_Oct,Operation Red October,McAfee,https://app.box.com/s/yzybkh6neofhi2wonyn7abjyn2hlfa8f,b6217ea7fe6b4dd5e27b2a1b4b84432db2e1b2f3,01/18/2013,2013
FireEye_Operation-Beebus(Feb-1-13),Operation Beebus,FireEye,https://app.box.com/s/3bk8cfcjiwhh1gxlkmyslrmp85wm7ewd,829bd809578a0305bc0438fd719e9c6da8f9fd96,02/01/2013,2013
C5_APT_C2InTheFifthDomain,Command And Control In The Fifth Domain,Command Five Pty Ltd,https://app.box.com/s/yfduvs6jw8w3ankhjkbi4ei5ykqho368,f8b1d371008a2108bb7ded054b7b0b7cdc4d5295,02/03/2013,2013
Presentation_Targeted-Attacks_EN,Targeted Cyber Attacks:  Examples And Challenges Ahead,CrySyS,https://app.box.com/s/vsy0oa0n3l2m2lx5oxpzj71zhbqkkgxq,100df21fed6fcf08b0982cfdf55463608613a2e2,02/12/2013,2013
Mandiant_APT1_Report,Apt1 Exposing One Of China's Cyber Espionage Units,Mandiant,https://app.box.com/s/t8w9gavaci6jye519zp13tjdicnd7xzu,3974687624eb85cdcf1fc9ccfb68eea052971e84,02/18/2013,2013
comment_crew_indicators_of_compromise,Comment Crew: Indicators Of Compromise,Symantec,https://app.box.com/s/0leqi6xaid7v745y3kujcyi5vgvf73su,349984643361273d5d3b638e369c45cbb409676c,02/22/2013,2013
stuxnet_0_5_the_missing_link,Stuxnet 0.5: The Missing Link,Symantec,https://app.box.com/s/jzbxpm7m7kakhubocrrerq0myig6befb,712311f4cacd476100c7ef037e3accc740558920,02/26/2013,2013
themysteryofthepdf0-dayassemblermicrobackdoor,The Miniduke Mystery: Pdf 0-Day Government Spy Assembler 0X29A Micro Backdoor ,Kaspersky,https://app.box.com/s/w3b1yh6agvwmocx8ftzjg8kyds0jodmk,c6dff7f0864e36e3dcc1be12747d26fb8072b52c,02/27/2013,2013
miniduke_indicators_public,Miniduke: Indicators ,"CrySyS, BME",https://app.box.com/s/d5npu14e4471j5mmpkgt1xwdnu90t43e,2d3fb67fd870f192c38bd8e51344d45645794623,02/27/2013,2013
15-2013-youonlyclicktwice,You Only Click Twice: Finfisher's Global Proliferation,Citizen Lab,https://app.box.com/s/bdtw7jyfdcr9snnt14ye7ukb9oj2gmn9,e33abbd24c9cbb57b3b4a97df165766e1fb42eeb,03/13/2013,2013
Safe-a-targeted-threat,Safe A Targeted Threat,Trend Micro,https://app.box.com/s/0yh8mn02v2wrehl9yaddrb8rjdzieeqb,334b4ee90a30c9ab9dcc6e3596f15f0dcb02486d,03/17/2013,2013
theteamspystory_final_t2,The Teamspy Story - Abusing Teamviewer In Cyberespionage Campaigns,Kaspersky,https://app.box.com/s/742gtrl1fedxy8iqwjuqsiru1m8i0l2g,57a17587785f54a103ea970277bd7c4cc179a82c,03/20/2013,2013
dissecting-operation-troy,Dissecting Operation Troy: Cyberespionage In South Korea,McAfee,https://app.box.com/s/b91tgqhiw7zyivfnxe3sbrtzfgk6n08f,c6ce890a544b01e5dafd4add9326b4178424c4e2,03/20/2013,2013
RAP002_APT1_Technical_backstage.1.0,Apt1: Technical Backstage,"Malware.lu, itrust",https://app.box.com/s/x2jgr4j1bgfas2h2b4h09mam9nn4qwu3,26353a7703ce0b186450134a5321ac37d1405380,03/27/2013,2013
tr-12-circl-plugx-analysis-v1,Analysis Of A Plugx Variant (Plugx Version 7.0),CIRCL,https://app.box.com/s/90qhti3jwdmthbz7fd1l49n9y2cp8ffq,875abf02dad2a434d708e495ffc8afe4b2500aae,03/28/2013,2013
Trojan.APT.BaneChant,Trojan.Apt.Banechant: In-Memory Trojan That Observes For Multiple Mouse Clicks,FireEye,https://app.box.com/s/5ycaruh0zf07h2jy9mpasgm1crninjwp,85ef5daf99603da833a32245fd120028829a666f,04/01/2013,2013
MiniDuke_Paper_Final,A Closer Look At Miniduke,Bitdefender,https://app.box.com/s/cfkwk5mocm6ckxmaiv8hfe73k2bl1u10,d88b186085918e2039514caa21a4017aafc556d1,04/03/2013,2013
winnti-more-than-just-a-game-130410,Winnti: More Than Just A Game,Kaspersky,https://app.box.com/s/dlzp6f7hv9q3r0kreqvu8yyt36lzdbxw,3a34d6152f2d287f58e67a03d96408b74d5c470e,04/13/2013,2013
FireEye_The-Mutter-Backdoor-Operation-Beebus-with-New-Targets(Apr-17-13),The Mutter Backdoor: Operation Beebus with New Targets,Fireeye,https://app.box.com/s/zg8cx9of6h9kdol7wwvgz8lxkqlvyr2p,660bd04b0d4b33301fcb47a98f3d671f126f66c0,04/17/2013,2013
AdversaryIntelligenceReport_DeepPanda_0 (1),Deep Panda,Crowdstrike,https://app.box.com/s/6po2pgedkjf4br5p7tm51go7p5g3z6g3,1d53861aafea11d9a60e798b90d623c8e7c7b9e7,05/03/2013,2013
NS-Unveiling-an-Indian-Cyberattack-Infrastructure_FINAL_Web,Operation Hangover - Unveiling An Indian Cyberattack Infrastructure,"Norman, Shadowserver",https://app.box.com/s/f5wyu7306nti3lbp58uesioijsl9zamm,aae01ca44ca11f33692bcfd9a20e36105ddfa2b9,05/20/2013,2013
Norman_HangOver report_Executive Summary_042513,Operation Hangover |Executive Summary,Norman,https://app.box.com/s/d3q764or208vbbg26gtcasv5uxnkcij1,e2631efe178d16691329f27a853a41a48387bfc4,05/20/2013,2013
circl-analysisreport-miniduke-stage3-public,Analysis Of A Stage 3 Miniduke Sample,CIRCL,https://app.box.com/s/c95me2uocwoothfnapxrcjwfmynue4ri,dd9dacb6b9bc34a2410f9c8fb3a5f04fdce77f29,05/30/2013,2013
NormanShark-MaudiOperation,The Chinese Malware Complexes: The Maudi Surveillance Operation,Norman,https://app.box.com/s/v04cs4pueqq78rh8uasr39tsh36gtqra,902c5b2eb9cb486171b24ca60681aea5eecdb270,06/01/2013,2013
2013-9,Crude Faux: An Analysis Of Cyber Conflict Within The Oil & Gas Industries,CERIAS,https://app.box.com/s/9dpb6yyvb4yedosa75fo1ibuo46oy35a,31d750b3565b65c43533a87bf7aa72c41258f9a0,06/01/2013,2013
kaspersky-the-net-traveler-part1-final,The Nettraveler  (Aka Travnet) ,Kaspersky,https://app.box.com/s/1qx5mkzkcvwq3eazh2ygxowfbbadofby,4fd06d33aa1a087709277eb71d204e2fbf8b9243,06/04/2013,2013
KeyBoy_Vietnam_India,"Keyboy, Targeted Attacks Against Vietnam And India",Rapid7,https://app.box.com/s/f8p3dagvmdezcpgmnh04mgqz21viklpz,9a2de0730e62aa24cdff1d1920b9535d1795be7e,06/07/2013,2013
Trojan.APT.Seinup,Trojan.Apt.Seinup Hitting Asean,FireEye,https://app.box.com/s/iap35ypb6u03wrzpmemy2z2ntf4k8wm0,c6e80e76bca03538a2dfd2aac2e4120fdab6f4fc,06/18/2013,2013
19-2013-acalltoharm,A Call To Harm: New Malware Attacks Target The Syrian Opposition,Citizen Lab,https://app.box.com/s/hydmfjuajj44kezw77k9nwj5qormpp9y,283e853a69cddd4b59b35fcc2a75205b1deb9b69,06/21/2013,2013
fta-1009---njrat-uncovered-1,Njrat Uncovered,Fidelis,https://app.box.com/s/vdg51zbfvap52w60zj0is3l1dmyya0n4,214daebe12ae36a91e13c83e820bb2e20b560828,06/28/2013,2013
US-13-Yarochkin-In-Depth-Analysis-of-Escalated-APT-Attacks-Slides,Hunting The Shadows: In Depth Analysis Of Escalated Apt Attacks,"Xecure, Academia Sinica",https://app.box.com/s/owi5dxkk3zx164lp90swu3weeyp805se,05f1beceab73155d552a5ee919aebc4c8e92c609,07/01/2013,2013
Dark_Seoul_Cyberattack,Dark Seoul Cyber Attack: Could It Be Worse? ,Dongseo University,https://app.box.com/s/qw0kvewoi3uxy4g3xkc31ammxttbft5z,4e6876f16b77dbb33aad5384dbf0549d717edb31,07/09/2013,2013
Plugx_Smoaler,The Plugx Malware Revisited: Introducing Smoaler,Sophos,https://app.box.com/s/dfdg420iygjtz1rmou2ps14zi25l7tfb,9a7978041e795b788d86c52a477160dae296413b,07/15/2013,2013
Secrets_of_the_Comfoo_Masters,Secrets Of The Comfoo Masters,Dell Secureworks,https://app.box.com/s/70bcgwlwqpp43spjxnyk2f7h96lg0718,86061f7d1994ebb7b8b7eb640b041fb1342adac5,07/31/2013,2013
Unveiling an Indian Cyberattack Infrastructure - appendixes,Operation Hangover - Unveiling An Indian Cyberattack Infrastructure (Appendix),Norman,https://app.box.com/s/2k6oduwj3aetbetxdjx6gjqcg7mrcvvj,ffdfed40c5b1e08a6469c2f38e6a51347a37dd1b,08/01/2013,2013
Inside_Report_by_Infosec_Consortium,Inside Report _ Apt Attacks On Indian Cyber Space,Infosec Consortium,https://app.box.com/s/a2zw9uye2hhofsc1me6yfj39u6gjalcq,886b0ab831a5084de7d80355b7578a9a9999fc88,08/01/2013,2013
Surtr_Malware_Tibetan,Surtr: Malware Family Targeting The Tibetan Community,Citizen Lab,https://app.box.com/s/m57wv4yn4wsa0j2bj6yuj23bzyrq5rg8,6b624d6d80b412a10260344f244ed93e3718e003,08/02/2013,2013
